GPS_Epoch_Time(s),lat_degree_decimal,long_degree_decimal
1719398389,-27.2216163,-48.2623239
1719398449,-27.2215409,-48.2621241
1719398509,-27.2214870,-48.2618870
1719398569,-27.2214366,-48.2616362
1719398629,-27.2213346,-48.2614585
1719398689,-27.2212158,-48.2612895
1719398749,-27.2210971,-48.2611263
1719398809,-27.2209851,-48.2610358
1719398869,-27.2208283,-48.2609368
1719398929,-27.2207243,-48.2608387
1719398989,-27.2206854,-48.2607211
1719399049,-27.2206789,-48.2605872
1719399109,-27.2206680,-48.2604597
1719399169,-27.2206467,-48.2603330
1719399229,-27.2206247,-48.2602014
1719399289,-27.2206182,-48.2600710
1719399349,-27.2205989,-48.2599313
1719399409,-27.2205786,-48.2597988
1719399469,-27.2205667,-48.2596510
1719399529,-27.2205503,-48.2595274
1719399589,-27.2205419,-48.2594057
1719399649,-27.2205365,-48.2592758
1719399709,-27.2205322,-48.2591461
1719399769,-27.2205230,-48.2590213
1719399829,-27.2205153,-48.2589017
1719399889,-27.2205163,-48.2587733
1719399949,-27.2205095,-48.2586514
1719400009,-27.2205006,-48.2585293
1719400069,-27.2205003,-48.2584040
1719400129,-27.2204970,-48.2582877
1719400189,-27.2204888,-48.2581603
1719400249,-27.2204825,-48.2580449
1719400309,-27.2204847,-48.2579188
1719400369,-27.2204989,-48.2577924
1719400429,-27.2205089,-48.2576565
1719400489,-27.2205182,-48.2575312
1719400549,-27.2205179,-48.2574019
1719400609,-27.2205252,-48.2572743
1719400669,-27.2205298,-48.2571495
1719400729,-27.2205329,-48.2570285
1719400789,-27.2205469,-48.2569025
1719400849,-27.2205377,-48.2567833
1719400909,-27.2205382,-48.2566694
1719400969,-27.2205576,-48.2565375
1719401029,-27.2205602,-48.2564245
1719401089,-27.2205733,-48.2563092
1719401149,-27.2205907,-48.2561863
1719401209,-27.2205997,-48.2560702
1719401269,-27.2206150,-48.2559522
1719401329,-27.2206436,-48.2558166
1719401389,-27.2206718,-48.2556935
1719401449,-27.2206955,-48.2555498
1719401509,-27.2207339,-48.2554177
1719401569,-27.2207826,-48.2552904
1719401629,-27.2208302,-48.2551581
1719401689,-27.2208756,-48.2550249
1719401749,-27.2209178,-48.2548676
1719401809,-27.2209784,-48.2547280
1719401869,-27.2210243,-48.2545935
1719401929,-27.2210769,-48.2544835
1719401989,-27.2211203,-48.2543622
1719402049,-27.2211717,-48.2542516
1719402109,-27.2212248,-48.2541385
1719402169,-27.2212626,-48.2540308
1719402229,-27.2213065,-48.2539332
1719402289,-27.2213582,-48.2538381
1719402349,-27.2213935,-48.2537346
1719402409,-27.2214399,-48.2536368
1719402469,-27.2214883,-48.2535310
1719402529,-27.2215402,-48.2534233
1719402589,-27.2215802,-48.2533083
1719402649,-27.2216372,-48.2532048
1719402709,-27.2216808,-48.2530986
1719402769,-27.2217234,-48.2529988
1719402829,-27.2217666,-48.2528864
1719402889,-27.2217954,-48.2527806
1719402949,-27.2218390,-48.2526763
1719403009,-27.2218830,-48.2525713
1719403069,-27.2219357,-48.2524470
1719403129,-27.2219891,-48.2523314
1719403189,-27.2220453,-48.2522216
1719403249,-27.2221134,-48.2520931
1719403309,-27.2221696,-48.2519627
1719403369,-27.2222253,-48.2518328
1719403429,-27.2222814,-48.2517016
1719403489,-27.2223374,-48.2515740
1719403549,-27.2223857,-48.2514530
1719403609,-27.2224357,-48.2513394
1719403669,-27.2224850,-48.2512087
1719403729,-27.2225289,-48.2510896
1719403789,-27.2225781,-48.2509627
1719403849,-27.2226229,-48.2508283
1719403909,-27.2226647,-48.2506827
1719403969,-27.2227076,-48.2505579
1719404029,-27.2227636,-48.2504305
1719404089,-27.2228105,-48.2503047
1719404149,-27.2228787,-48.2501858
1719404209,-27.2229482,-48.2500727
1719404269,-27.2230150,-48.2499702
1719404329,-27.2230783,-48.2498648
1719404389,-27.2231492,-48.2497715
1719404449,-27.2232151,-48.2496842
1719404509,-27.2232790,-48.2495860
1719404569,-27.2233429,-48.2494846
1719404629,-27.2234195,-48.2493907
1719404689,-27.2234934,-48.2492806
1719404749,-27.2235603,-48.2491715
1719404809,-27.2236286,-48.2490495
1719404869,-27.2237045,-48.2489465
1719404929,-27.2237713,-48.2488410
1719404989,-27.2238411,-48.2487147
1719405049,-27.2239014,-48.2486030
1719405109,-27.2239493,-48.2484855
1719405169,-27.2240051,-48.2483678
1719405229,-27.2240596,-48.2482314
1719405289,-27.2241029,-48.2480971
1719405349,-27.2241630,-48.2479637
1719405409,-27.2242201,-48.2478286
1719405469,-27.2242711,-48.2476759
1719405529,-27.2243238,-48.2475351
1719405589,-27.2243718,-48.2473975
1719405649,-27.2244146,-48.2472680
1719405709,-27.2244586,-48.2471335
1719405769,-27.2245110,-48.2470037
1719405829,-27.2245538,-48.2468659
1719405889,-27.2246021,-48.2467353
1719405949,-27.2246529,-48.2465771
